TaxaNames,Mode,Mass,Superclass,Subclass,Specificclass,Pathway,Bestname
neg172,negative,369.3019,Lipids and lipid like molecules,Uncertain,Acyclic diterpenoids,Fatty acids,8 9 13 Trihydroxydocosanoic acid
neg17214,negative,341.0319,Benzenoids,Anthraquinones,Anthraquinones,Shikimates and Phenylpropanoids,1 2 Benzenedicarboxylic acid 4 4 (hydroxymethylene)bis 
neg1723,negative,544.2666,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,Valerjesomycin
neg17238,negative,343.0833,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,7 hydroxy S usnate
neg17257,negative,502.3265,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,13 hydroxy 6 (1 hydroxyethyl) 12 14 dimethyl 3 methylidene 15 nonyl 9 propan 2 yl 1 oxa 4 7 10 triazacyclopentadecane 2 5 8 11 tetrone
neg17259,negative,559.3295,Lipids and lipid like molecules,Steroid esters,Steroid esters,Terpenoids,Ursane and Taraxastane triterpenoids
neg17261,negative,265.0721,Benzenoids,Benzoic acids and derivatives,M phthalic acid and derivatives,Shikimates and Phenylpropanoids,dihydrocitrinone
neg17265,negative,345.0986,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg17268,negative,441.1946,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Alkaloids,NA
neg17271,negative,197.01,Uncertain,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Shikimates and Phenylpropanoids,4 5 dihydroxyphthalic acid
neg17277,negative,477.287,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,4 +AFs-(5R 7R) 5 (acetyloxy) 2 15 dimethyl 16 oxotetracyclo+AFs-8.7.0.0+AF4Aew-2 7+AH0-.0+AF4Aew-11 15+AH0AXQ-heptadecan 14 yl+AF0-pentanoic acid
neg17285,negative,263.0205,Phenylpropanoids and polyketides,Hydroxycoumarins,7 hydroxycoumarins,Shikimates and Phenylpropanoids,Simple phenolic acids
neg17295,negative,489.3596,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cycloartane triterpenoids
neg17296,negative,373.0578,Benzenoids,Benzoic acids and derivatives,Benzoic acids and derivatives,Polyketides,5 (4 chlorophenyl) 2 (4 methoxyphenyl)pyrazole 3 carboxylic Acid
neg17297,negative,469.0064,Phenylpropanoids and polyketides,Hydrolyzable tannins,Hydrolyzable tannins,Shikimates and Phenylpropanoids,Gallotannins
neg17310,negative,513.2857,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cardenolides
neg17315,negative,313.0209,Organic nitrogen compounds,N arylamides,N arylamides,Amino acids and Peptides,Acetamido thiadiazole butyl sulfonamide
neg1732,negative,197.0825,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Amino acids and Peptides,NA
neg17327,negative,628.2432,Organic acids and derivatives,Amino acids peptides and analogues,N acyl alpha amino acids and derivatives,Amino acids and Peptides,Acetyl YVAD AMC
neg17337,negative,635.3099,Benzenoids,Uncertain,Phenols,Polyketides,Cardenolides
neg17353,negative,575.3255,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg17356,negative,201.114,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,NA
neg17363,negative,517.282,Lipids and lipid like molecules,Uncertain,Steroids and steroid derivatives,Terpenoids,Ecdysteroids
neg17368,negative,443.2463,Lipids and lipid like molecules,Steroid esters,Steroid esters,Polyketides,Tetraketide meroterpenoids
neg17375,negative,379.2137,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,(3S 5R 6R 8S 9R 10R 12R 13R 14R 17S) 17 (1 hydroxyethyl) 10 13 dimethyl 2 3 4 6 7 9 11 12 15 16 decahydro 1H cyclopenta+AFs-a+AF0-phenanthrene 3 5 6 8 12 14 17 heptol
neg17378,negative,397.2969,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Uncertain,Unsaturated fatty acids
neg17392,negative,563.3625,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Terpenoids,Cholestane steroids
neg17393,negative,295.1559,Lipids and lipid like molecules,Fatty acids and conjugates,Hydroxy fatty acids,Fatty acids,NA
neg17409,negative,285.0624,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Amino acids and Peptides,NA
neg17431,negative,345.099,Lignans neolignans and related compounds,Uncertain,Lignans neolignans and related compounds,Shikimates and Phenylpropanoids,Chalcones
neg17433,negative,313.0369,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Amino acids and Peptides,NA
neg17435,negative,359.0788,Uncertain,Uncertain,Chromones,Polyketides,kaempferol 7 4 dimethyl ether
neg17439,negative,237.0772,Benzenoids,Benzoic acids and derivatives,Salicylic acid and derivatives,Shikimates and Phenylpropanoids,3 4 ethoxyphenylprop 2 enoic acid
neg17478,negative,309.1354,Lipids and lipid like molecules,Fatty acids and conjugates,Hydroxy fatty acids,Fatty acids,NA
neg17480,negative,299.057,Phenylpropanoids and polyketides,Hydroxyflavonoids,4 hydroxyflavonoids,Shikimates and Phenylpropanoids,Anthraquinones and anthrones
neg17485,negative,375.1092,Lignans neolignans and related compounds,Uncertain,Lignans neolignans and related compounds,Shikimates and Phenylpropanoids,1 (2 hydroxy 4 6 dimethoxyphenyl) 3 (4 hydroxy 3 methoxyphenyl)prop 2 en 1 one
neg17491,negative,189.0413,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty acids,glucoheptonic acid
neg17540,negative,297.0782,Benzenoids,Uncertain,Phenols,Polyketides,6 Methylflavonol
neg17547,negative,343.2501,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,9E 8 hydroxyoctadec 9 enoic acid
neg17593,negative,219.0667,Organoheterocyclic compounds,1 benzopyrans,Chromones,Polyketides,eugenitin
neg17608,negative,341.0681,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,Flavones
neg17618,negative,253.0364,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,NA
neg17622,negative,349.2032,Lipids and lipid like molecules,Eicosanoids,Prostaglandins and related compounds,Fatty acids,20 hydroxy PGD2
neg17632,negative,321.1747,Organoheterocyclic compounds,Uncertain,Heteroaromatic compounds,Uncertain,NA
neg1765,negative,513.323,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
neg17651,negative,413.2928,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg1769,negative,193.0876,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,NA
neg17695,negative,609.2878,Uncertain,1 benzopyrans,Pyranoxanthones,Terpenoids,NA
neg17715,negative,313.0735,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,fisetin 3 4 dimethyl ether
neg17754,negative,375.1091,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Polyketides,Depsides
neg17763,negative,345.0629,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg17767,negative,455.3394,Lipids and lipid like molecules,Fatty acid esters,Fatty acid esters,Terpenoids,NA
neg17771,negative,405.0474,Benzenoids,Benzoic acids and derivatives,m Hydroxybenzoic acid esters,Shikimates and Phenylpropanoids,NA
neg17776,negative,211.0622,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Shikimates and Phenylpropanoids,methyl 4 hydroxy 2 methylbenzoate
neg17781,negative,429.3248,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,1 o stearoyl d glucitol
neg17788,negative,549.3449,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg1782,negative,495.0502,Benzenoids,Halobenzenes,Dichlorobenzenes,Alkaloids,NA
neg17822,negative,565.3763,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Polyketides,Open chain polyketides
neg17868,negative,485.3642,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
neg17869,negative,329.0319,Benzenoids,Uncertain,Uncertain,Polyketides,monorhein
neg1789,negative,456.2617,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acid amides,Alkaloids,NA
neg17904,negative,317.1036,Phenylpropanoids and polyketides,Uncertain,Stilbenes,Shikimates and Phenylpropanoids,Oprea1 536104
neg17910,negative,383.0432,Organic acids and derivatives,Arylsulfates,Arylsulfates,Polyketides,NA
neg17941,negative,242.979,Uncertain,Fatty acids and conjugates,Fatty acids and conjugates,Fatty acids,Diethyl 2 bromoethylphosphonate
neg1795,negative,609.3428,Lipids and lipid like molecules,Cucurbitacins,Cucurbitacins,Terpenoids,Oleanane triterpenoids
neg17981,negative,455.0997,Phenylpropanoids and polyketides,Hydroxyflavonoids,5 hydroxyflavonoids,Shikimates and Phenylpropanoids,Flavan 3 ols
neg17983,negative,455.0997,Phenylpropanoids and polyketides,Hydroxyflavonoids,5 hydroxyflavonoids,Shikimates and Phenylpropanoids,Flavan 3 ols
neg17989,negative,419.2083,Benzenoids,Uncertain,Benzenoids,Terpenoids,NA
neg1800,negative,251.0569,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Uncertain,2 phenylmethylidenebutanedioic acid
neg18015,negative,175.0409,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Shikimates and Phenylpropanoids,ferulic acid
neg18044,negative,283.0619,Benzenoids,Uncertain,Uncertain,Shikimates and Phenylpropanoids,glycitein
neg18059,negative,203.0355,Benzenoids,Benzoic acids and derivatives,Acylaminobenzoic acid and derivatives,Amino acids and Peptides,NA
neg1806,negative,347.1359,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,NA
neg18082,negative,351.0889,Benzenoids,Anthraquinones,Anthraquinones,Polyketides,Anthracyclines
neg18085,negative,441.3237,Lipids and lipid like molecules,Diterpenoids,Acyclic diterpenoids,Polyketides,Didecyl maleate
neg18107,negative,357.1723,Phenylpropanoids and polyketides,Linear diarylheptanoids,Linear diarylheptanoids,Shikimates and Phenylpropanoids,Linear diarylheptanoids
neg18119,negative,329.2709,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,stearic acid
neg1812,negative,601.3082,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Carotenoids C40 +A7I- +A7I-
neg1813,negative,431.339,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
neg18174,negative,507.1658,Organoheterocyclic compounds,1 benzopyrans,1 benzopyrans,Alkaloids,NA
neg18185,negative,409.0947,Benzenoids,Uncertain,Uncertain,Amino acids and Peptides,5 ethoxy 2 +AFs-(4 phenyldiazenylphenyl)diazenyl+AF0-benzenesulfonic acid
neg18198,negative,659.3636,Lipids and lipid like molecules,Steroid lactones,Cardenolide glycosides and derivatives,Terpenoids,Fatty acyl glycosides of mono and disaccharides
neg18203,negative,269.0822,Organoheterocyclic compounds,1 benzopyrans,1 benzopyrans,Shikimates and Phenylpropanoids,NCIStruc1 000625
neg18225,negative,407.1724,Lignans neolignans and related compounds,Uncertain,Dibenzylbutane lignans,Shikimates and Phenylpropanoids,secoisolariciresinol
neg18246,negative,557.3131,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cucurbitane triterpenoids
neg18255,negative,537.307,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg18296,negative,357.0633,Benzenoids,Diphenylethers,Diphenylethers,Polyketides,Depsidones
neg18309,negative,237.005,Benzenoids,Benzoic acids and derivatives,M phthalic acid and derivatives,Shikimates and Phenylpropanoids,Epitope ID:113235
neg18311,negative,313.2758,Lipids and lipid like molecules,Fatty alcohols,Long chain fatty alcohols,Fatty acids,Monoacylglycerols
neg18316,negative,199.062,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Uncertain,NA
neg18317,negative,187.0619,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Uncertain,exo 7 Oxabicyclo(2.2.1)heptane 2 carboxylic acid
neg18319,negative,215.0934,Lipids and lipid like molecules,Fatty acids and conjugates,Hydroxy fatty acids,Carbohydrates,NA
neg18320,negative,203.057,Lipids and lipid like molecules,Fatty acids and conjugates,Methyl branched fatty acids,Fatty acids,3 (carboxymethyl)hexanedioic acid
neg18334,negative,265.0722,Benzenoids,Benzoic acids and derivatives,Phthalate esters,Shikimates and Phenylpropanoids,dihydrocitrinone
neg18335,negative,343.2136,Lipids and lipid like molecules,Uncertain,Thromboxanes,Fatty acids,Other Octadecanoids
neg18336,negative,341.125,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,Polyketides,NA
neg18341,negative,493.3188,Lipids and lipid like molecules,Steroid acids,4 carboxy steroids,Terpenoids,makisterone A
neg18361,negative,449.329,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Pentahydroxy bile acids alcohols and derivatives,Terpenoids,Cholestane steroids
neg18388,negative,467.3029,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,(23S) methylcholic acid
neg18410,negative,655.4449,Organic oxygen compounds,Uncertain,Uncertain,Polyketides,Dammarane and Protostane triterpenoids
neg18419,negative,533.3131,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,tert butyl N +AFs-1 +AFs-4 +AFsAWw-1 (4 fluoroanilino) 3 methyl 1 oxobutan 2 yl+AF0-carbamoyl+AF0-piperidin 1 yl+AF0- 4 methyl 1 oxopentan 2 yl+AF0-carbamate
neg18427,negative,537.3076,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Polyketides,Ergostane steroids
neg18445,negative,481.2958,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cucurbitane triterpenoids
neg18454,negative,383.0786,Organoheterocyclic compounds,Uncertain,Quinoxalines,Alkaloids,NA
neg18473,negative,175.0981,Organic acids and derivatives,Carboxylic acids,Carboxylic acids,Fatty acids,3 6 Dioxadecanoic Acid
neg1848,negative,311.1148,Uncertain,Uncertain,Prenol lipids,Terpenoids,Cyclofarnesane sesquiterpenoids
neg1849,negative,211.062,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,R phenyllactate
neg18491,negative,325.1098,Benzenoids,Uncertain,Benzenoids,Uncertain,NA
neg18499,negative,537.3438,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,NA
neg185,negative,789.1469,Phenylpropanoids and polyketides,Hydroxyflavonoids,3 hydroxyflavonoids,Shikimates and Phenylpropanoids,NA
neg18503,negative,557.3133,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,(3R 4S 5R 9R 10R 13S 14S 16S 17S) 3 acetyloxy 16 hydroxy 17 +AFs-(2R) 1 hydroxy 6 methyl 1 4 dioxohept 5 en 2 yl+AF0- 4 10 13 14 tetramethyl 2 3 5 6 9 11 12 15 16 17 decahydro 1H cyclopenta+AFs-a+AF0-phenanthrene 4 carboxylic acid
neg18510,negative,387.1101,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,NA
neg18512,negative,225.0055,Lipids and lipid like molecules,Fatty acids and conjugates,Thia fatty acids,Fatty acids,NA
neg18537,negative,627.2975,Organic acids and derivatives,Amino acids peptides and analogues,Oligopeptides,Amino acids and Peptides,NA
neg1854,negative,225.114,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,NA
neg18548,negative,329.0682,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,Fungal DPEs
neg18550,negative,411.0005,Benzenoids,Nitrobenzenes,Nitrobenzenes,Alkaloids,NA
neg18556,negative,341.1613,Lipids and lipid like molecules,Fatty acids and conjugates,Methyl branched fatty acids,Fatty acids,NA
neg18562,negative,411.1675,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Polyketides,NA
neg18575,negative,360.155,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,N +AFs-2 +AFs-(3 amino 3 iminopropyl)carbamoyl+AF0- 1 methylimidazol 4 yl+AF0- 4 formamido 1 methylimidazole 2 carboxamide
neg18577,negative,355.157,Phenylpropanoids and polyketides,Linear diarylheptanoids,Curcuminoids,Shikimates and Phenylpropanoids,hexahydrocurcumin
neg18581,negative,357.1724,Uncertain,Linear diarylheptanoids,Linear diarylheptanoids,Shikimates and Phenylpropanoids,Linear diarylheptanoids
neg18584,negative,489.3571,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg18594,negative,385.297,Lipids and lipid like molecules,Eicosanoids,Eicosanoids,Fatty acids,5 oxohenicosanoic acid
neg1860,negative,507.3334,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Cholestane steroids
neg18602,negative,403.177,Phenylpropanoids and polyketides,Linear diarylheptanoids,Linear diarylheptanoids,Shikimates and Phenylpropanoids,Linear diarylheptanoids
neg18603,negative,463.3071,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg18615,negative,555.2803,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,O glycosyl compounds,Terpenoids,NA
neg18663,negative,365.2341,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Fatty acids,20 hete
neg18673,negative,271.1195,Organic acids and derivatives,Uncertain,Hydroxy acids and derivatives,Fatty acids,3 4 methylenesebacic acid
neg18688,negative,191.0569,Organic acids and derivatives,Uncertain,Hydroxy acids and derivatives,Carbohydrates,methylglutaric acid
neg187,negative,657.1408,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid glycosides,Shikimates and Phenylpropanoids,Flavanones
neg18709,negative,579.3202,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Labdane diterpenoids
neg1871,negative,509.1021,Benzenoids,Uncertain,Phenol ethers,Alkaloids,NA
neg1872,negative,251.0926,Organic oxygen compounds,Carbonyl compounds,Aryl alkyl ketones,Polyketides,4 p Toluoylbutyric acid
neg1877,negative,546.2823,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,NA
neg1879,negative,382.2761,Benzenoids,Diphenylmethanes,Diphenylmethanes,Alkaloids,4 methyl N +AFs-4 (1 methylethoxy)benzyl+AF0- 3 +AFs-4 (1 methylethoxy)phenyl+AF0-pentan 1 amine
neg188,negative,789.1469,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid glycosides,Shikimates and Phenylpropanoids,NA
neg1882,negative,279.0728,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Glucuronic acid derivatives,Carbohydrates,NA
neg18829,negative,389.2345,Lipids and lipid like molecules,Steroid lactones,Cardenolides and derivatives,Terpenoids,3 beta 6 14 Trihydroxy 5 beta card 20(22) enolide
neg18893,negative,597.238,Benzenoids,Benzoic acids and derivatives,p Hydroxybenzoic acid alkyl esters,Terpenoids,NA
neg18909,negative,399.1572,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg1891,negative,428.2665,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Fatty acids,NA
neg18990,negative,403.1615,Lipids and lipid like molecules,Uncertain,Saccharolipids,Uncertain,nonioside d
neg18996,negative,604.2932,Lipids and lipid like molecules,Eicosanoids,Prostaglandins and related compounds,Amino acids and Peptides,taxine A
neg18997,negative,593.2483,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Uncertain,NA
neg19000,negative,401.3284,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Uncertain,2 hydroxy behenic
neg19005,negative,399.3124,Lipids and lipid like molecules,Fatty alcohols,Uncertain,Polyketides,22 oxobehenate
neg19007,negative,213.0049,Uncertain,Fatty acids and conjugates,Medium chain fatty acids,Fatty acids,Triacetyl dimercaprol
neg19011,negative,415.2134,Benzenoids,Uncertain,Benzene and substituted derivatives,Terpenoids,Kaurane and Phyllocladane diterpenoids
neg19012,negative,397.2029,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,Atisane diterpenoids
neg19015,negative,650.3351,Lipids and lipid like molecules,Uncertain,Cardenolides and derivatives,Terpenoids,Taxane diterpenoids
neg19026,negative,650.3361,Lipids and lipid like molecules,Uncertain,Steroids and steroid derivatives,Polyketides,Taxane diterpenoids
neg19028,negative,413.198,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Polyketides,1 10 Bis(4 carboxyphenoxy)decane
neg19038,negative,651.3623,Organic acids and derivatives,Amino acids peptides and analogues,Dipeptides,Amino acids and Peptides,NA
neg19047,negative,385.3332,Lipids and lipid like molecules,Fatty alcohol esters,Fatty alcohol esters,Fatty acids,behenic acid
neg1906,negative,245.1038,Lipids and lipid like molecules,Uncertain,Lipids and lipid like molecules,Fatty acids,2 decenedioic acid
neg19074,negative,247.1345,Lipids and lipid like molecules,Sesquiterpenoids,Sesquiterpenoids,Terpenoids,atractylenolide III
neg19080,negative,623.3307,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,NA
neg19092,negative,421.1151,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid 7 O glycosides,Shikimates and Phenylpropanoids,+- catechin 7 O +A7I- D xyloside
neg1910,negative,341.2344,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
neg19121,negative,437.0528,Benzenoids,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Polyketides,polyozellin
neg1916,negative,412.2715,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Fatty acids,NA
neg1917,negative,475.3658,Lipids and lipid like molecules,Ceramides,Long chain ceramides,Fatty acids,NA
neg19176,negative,389.0528,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid O glycosides,Shikimates and Phenylpropanoids,Flavonols
neg1918,negative,163.0406,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids,Shikimates and Phenylpropanoids,para coumaric acid
neg19191,negative,247.1345,Lipids and lipid like molecules,Terpene lactones,Sesquiterpene lactones,Terpenoids,atractylenolide III
neg19222,negative,342.0911,Benzenoids,Uncertain,Benzene and substituted derivatives,Alkaloids,Oprea1 364384
neg1927,negative,375.2763,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
neg19293,negative,345.172,Lipids and lipid like molecules,Terpene lactones,Diterpene lactones,Terpenoids,Abietane diterpenoids
neg19313,negative,295.1194,Lipids and lipid like molecules,Terpene lactones,Terpene lactones,Terpenoids,NA
neg19338,negative,695.418,Lipids and lipid like molecules,Diterpenoids,Atisane diterpenoids,Terpenoids,Avermectins
neg19371,negative,329.1251,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Uncertain,NA
neg19373,negative,509.3501,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Uncertain,Terpenoids,Glycosylmonoacylglycerols
neg19378,negative,308.9901,Organic nitrogen compounds,N arylamides,N arylamides,Amino acids and Peptides,NA
neg1941,negative,292.1414,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Carbohydrates,NA
neg19468,negative,433.2965,Uncertain,Uncertain,Uncertain,Terpenoids,pentacosa 2 4 16 triyne 1 6 15 triol
neg19471,negative,458.3498,Lipids and lipid like molecules,Fatty amides,N acyl amines,Fatty acids,NA
neg19472,negative,430.3192,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,Piperidine alkaloids
neg19486,negative,469.2967,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ecdysteroids
neg19494,negative,471.3326,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg19495,negative,818.4979,Organic acids and derivatives,Amino acids peptides and analogues,Oligopeptides,Amino acids and Peptides,NA
neg19508,negative,563.2872,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Uncertain,N Formylnorleucyl leucyl phenylalanyl tyrosine
neg19591,negative,441.2652,Lipids and lipid like molecules,Uncertain,Steroids and steroid derivatives,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
neg19593,negative,445.338,Organic nitrogen compounds,Amines,Tertiary amines,Alkaloids,Piperidine alkaloids
neg19599,negative,384.2404,Organic acids and derivatives,Amino acids peptides and analogues,N acyl alpha amino acids,Fatty acids,11 Deoxy 13 14 dihydro 8 azaprostaglandin E(1)
neg196,negative,567.09,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid O glycosides,Shikimates and Phenylpropanoids,Flavones
neg19617,negative,481.2956,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg1965,negative,220.0622,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,3 (3 oxo 1 4 benzoxazin 4 yl)propanoate
neg19660,negative,783.0713,Phenylpropanoids and polyketides,Hydrolyzable tannins,Hydrolyzable tannins,Shikimates and Phenylpropanoids,NA
neg19663,negative,242.979,Benzenoids,Halobenzenes,Bromobenzenes,Terpenoids,NA
neg1969,negative,315.255,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,9 10 dihydroxystearic acid
neg19707,negative,411.2041,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Uncertain,1 +AFs-(4 diethylaminophenyl)methyl+AF0- 4 (pyridin 2 ylmethyl)piperazine 2 3 dione
neg19787,negative,314.2429,Organoheterocyclic compounds,Purines and purine derivatives,Xanthines,Alkaloids,NA
neg19791,negative,375.182,Lipids and lipid like molecules,Terpene lactones,Diterpene lactones,Terpenoids,lobohedleolide
neg19793,negative,263.0717,Organic oxygen compounds,Carbonyl compounds,P benzoquinones,Shikimates and Phenylpropanoids,Pulvinon
neg19794,negative,517.3789,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Terpenoids,Didodecyl vinylenedicarbamate
neg19795,negative,649.3701,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
neg19799,negative,459.2769,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Kaurane and Phyllocladane diterpenoids
neg19800,negative,491.2663,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg19801,negative,505.282,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Scalarane sesterterpenoids
neg19803,negative,463.2711,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,3.beta. 6.alpha. Diacetoxyallopregnane 20 one
