"";"domain";"phylum";"class";"order";"family";"genus";"species";"Taxonomy";"taxon";"guid";"mbNumber";"taxonomicLevel";"trophicMode";"guild";"confidenceRanking";"growthForm";"trait";"notes";"citationSource"
"ASV89";NA;"Ascomycota";"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;"NA;Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;NA;NA";"Stictidaceae";"1CB1A605-36B9-11D5-9548-00D0592D548C";"81429";"9";"Symbiotroph";"Lichenized-Wood Saprotroph";"Probable";"Microfungus-Thallus";"NULL";"Saprobic on wood and stems, a few species lichenized or lignicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV92";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV94";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV96";NA;"Basidiomycota";"Agaricomycetes";"Trechisporales";"Hydnodontaceae";"Trechispora";"Trechispora_sp";"NA;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Trechispora;Trechispora_sp";"Trechispora";"1CB1CC1A-36B9-11D5-9548-00D0592D548C";"18664";"13";"Saprotroph";"|Wood Saprotroph|";"Highly Probable";"Corticioid";"White Rot";"As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)";"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as Uncertain); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM).; Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"ASV99";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV101";NA;"Ascomycota";"Lecanoromycetes";"Ostropales";"Stictidaceae";NA;NA;"NA;Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;NA;NA";"Stictidaceae";"1CB1A605-36B9-11D5-9548-00D0592D548C";"81429";"9";"Symbiotroph";"Lichenized-Wood Saprotroph";"Probable";"Microfungus-Thallus";"NULL";"Saprobic on wood and stems, a few species lichenized or lignicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV102";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV106";NA;"Ascomycota";"Eurotiomycetes";"Mycocaliciales";"Mycocaliciaceae";"Chaenothecopsis";"Chaenothecopsis_viridireagens";"NA;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Chaenothecopsis;Chaenothecopsis_viridireagens";"Chaenothecopsis viridireagens";"1CB1B025-36B9-11D5-9548-00D0592D548C";"341720";"20";"Pathotroph";"Lichen Parasite";"Highly Probable";"Microfungus";"NULL";"Lichen parasite on Calicium or on free-living algae";"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
"ASV107";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV108";NA;"Ascomycota";"Eurotiomycetes";"Mycocaliciales";"Mycocaliciaceae";"Chaenothecopsis";"Chaenothecopsis_viridireagens";"NA;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Chaenothecopsis;Chaenothecopsis_viridireagens";"Chaenothecopsis viridireagens";"1CB1B025-36B9-11D5-9548-00D0592D548C";"341720";"20";"Pathotroph";"Lichen Parasite";"Highly Probable";"Microfungus";"NULL";"Lichen parasite on Calicium or on free-living algae";"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
"ASV129";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV137";NA;"Ascomycota";"Dothideomycetes";NA;NA;NA;NA;"NA;Ascomycota;Dothideomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV144";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV148";NA;"Ascomycota";"Dothideomycetes";NA;NA;NA;NA;"NA;Ascomycota;Dothideomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV157";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV160";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV163";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV168";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV170";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_brachypoda";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_brachypoda";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV172";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV175";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV183";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV185";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV188";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV190";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV191";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_brachypoda";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_brachypoda";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV194";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV197";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV200";NA;"Ascomycota";"Dothideomycetes";NA;NA;NA;NA;"NA;Ascomycota;Dothideomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV203";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV207";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV221";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV224";NA;"Basidiomycota";"Agaricomycetes";"Cantharellales";"Botryobasidiaceae";"Botryobasidium";"Botryobasidium_subcoronatum";"NA;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;Botryobasidium_subcoronatum";"Botryobasidiaceae";"1CB1CCD1-36B9-11D5-9548-00D0592D548C";"81744";"9";"Saprotroph";"Undefined Saprotroph-Wood Saprotroph";"Probable";"Corticioid";"NULL";"Saprobic, typically on rotten wood (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV231";NA;"Ascomycota";"Eurotiomycetes";"Phaeomoniellales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Phaeomoniellales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV236";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV237";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV239";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV241";NA;"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";"Phialocephala";NA;"NA;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;Phialocephala;NA";"Phialocephala";"1CB19925-36B9-11D5-9548-00D0592D548C";"9336";"13";"Saprotroph-Symbiotroph";"Endophyte-|Undefined Saprotroph|";"Highly Probable";"Microfungus";"NULL";"As root_endophyte (Põlme et al. 2020); As root_endophyte_dark_septate (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots.; Decay roots, soil (Põlme et al. 2020)";"Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as dark septate root endophytes); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"ASV242";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;NA;NA";"Bionectriaceae";"1CB1CCCB-36B9-11D5-9548-00D0592D548C";"82088";"9";"Pathotroph-Saprotroph";"Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph";"Probable";"Microfungus";"NULL";"Associated with plant material, especially on wood and herbaceous debris, or with algae, bryophyte or other fungi, rarely pathogenic (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV243";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV255";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV260";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;NA;NA";"Bionectriaceae";"1CB1CCCB-36B9-11D5-9548-00D0592D548C";"82088";"9";"Pathotroph-Saprotroph";"Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph";"Probable";"Microfungus";"NULL";"Associated with plant material, especially on wood and herbaceous debris, or with algae, bryophyte or other fungi, rarely pathogenic (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV263";NA;"Ascomycota";"Dothideomycetes";NA;NA;NA;NA;"NA;Ascomycota;Dothideomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV265";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_stemonea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_stemonea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV266";NA;"Basidiomycota";"Agaricomycetes";"Cantharellales";"Botryobasidiaceae";"Botryobasidium";"Botryobasidium_subcoronatum";"NA;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;Botryobasidium_subcoronatum";"Botryobasidiaceae";"1CB1CCD1-36B9-11D5-9548-00D0592D548C";"81744";"9";"Saprotroph";"Undefined Saprotroph-Wood Saprotroph";"Probable";"Corticioid";"NULL";"Saprobic, typically on rotten wood (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV270";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Cladophialophora";NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV274";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Cuniculitremaceae";NA;NA;"NA;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;NA;NA";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV280";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV281";NA;"Ascomycota";"Arthoniomycetes";"Arthoniales";"Arthoniaceae";"Bryostigma";"Bryostigma_muscigenum";"NA;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Bryostigma;Bryostigma_muscigenum";"Arthoniaceae";"1CB1CCB8-36B9-11D5-9548-00D0592D548C";"80472";"9";"Pathotroph-Symbiotroph";"Lichen Parasite-Lichenized";"Probable";"Microfungus-Thallus";"NULL";"Lichenized and lichenicolous taxa (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV282";NA;"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";NA;NA;"NA;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;NA;NA";"Didymellaceae";"F971F4FB-F68A-481E-B5F1-2BF2B753AA5D";"508292";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"ASV283";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV288";NA;"Ascomycota";"Dothideomycetes";"Pleosporales";NA;NA;NA;"NA;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV291";NA;"Ascomycota";"Lecanoromycetes";"Ostropales";"Stictidaceae";"Cryptodiscus";NA;"NA;Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;Cryptodiscus;NA";"Stictidaceae";"1CB1A605-36B9-11D5-9548-00D0592D548C";"81429";"9";"Symbiotroph";"Lichenized-Wood Saprotroph";"Probable";"Microfungus-Thallus";"NULL";"Saprobic on wood and stems, a few species lichenized or lignicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV292";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV293";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV294";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV295";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
